year,month,day,temp_category,precip_category,cloud_cover_category,wind_speed_category,sunshine_category,state1
2018,1,16,Medium,High,Medium,High,Medium,Medium-High
2018,1,17,Medium,High,Medium,High,Medium,Medium-High
2018,1,18,Medium,High,Medium,High,Medium,Medium-High
2018,1,19,Medium,High,Low,Medium,High,Medium-High
2018,1,20,Low,High,Medium,Medium,Low,Low-High
2018,1,21,Medium,High,Medium,Low,High,Medium-High
2018,1,22,High,Medium,Medium,Medium,Medium,High-Medium
2018,1,23,High,Low,Medium,High,Medium,High-Low
2018,1,24,High,Medium,High,High,Medium,High-Medium
2018,1,25,High,High,High,Medium,Low,High-High
2018,1,26,High,Medium,High,Low,Medium,High-Medium
2018,1,27,Medium,Medium,Medium,Medium,Medium,Medium-Medium
2018,1,28,High,Low,High,High,Medium,High-Low
2018,1,29,High,High,Medium,High,Low,High-High
2018,1,30,Medium,Low,Low,Low,High,Medium-Low
2018,1,31,High,High,Medium,High,Low,High-High
2019,1,1,High,Medium,High,High,Low,High-Medium
2019,1,2,Medium,Medium,Low,Medium,High,Medium-Medium
2019,1,3,Medium,Medium,Medium,Low,Medium,Medium-Medium
2019,1,4,Medium,Medium,High,Medium,Medium,Medium-Medium
2019,1,5,High,High,High,High,Low,High-High
2019,1,6,Medium,Medium,Medium,Medium,Medium,Medium-Medium
2019,1,7,High,Medium,Medium,Medium,Low,High-Medium
2019,1,8,High,High,Low,High,Medium,High-High
2019,1,9,Medium,Medium,Low,High,High,Medium-Medium
2019,1,10,Low,Medium,High,Low,Low,Low-Medium
2019,1,11,Medium,Medium,High,Medium,Low,Medium-Medium
2019,1,12,High,High,High,High,Low,High-High
2019,1,13,High,High,Medium,High,Low,High-High
2019,1,14,Medium,Medium,Low,Medium,High,Medium-Medium
2019,1,15,Medium,Low,Medium,High,Medium,Medium-Low
2019,1,16,High,Medium,High,High,Medium,High-Medium
2019,1,17,Medium,High,Low,Medium,Medium,Medium-High
2019,1,18,Low,Low,Low,Low,High,Low-Low
2019,1,19,Low,Low,Low,Low,High,Low-Low
2019,1,20,Low,Low,Low,Low,High,Low-Low
2019,1,21,Low,Low,Low,Low,High,Low-Low
2019,1,22,Low,High,High,Medium,Low,Low-High
2019,1,23,Low,Low,Medium,Low,Medium,Low-Low
2019,1,24,Low,Low,Medium,Low,Medium,Low-Low
2019,1,25,Low,Medium,High,Medium,Low,Low-Medium
2019,1,26,High,Medium,High,High,Medium,High-Medium
2019,1,27,Medium,High,High,High,Low,Medium-High
2019,1,28,Medium,High,Medium,High,Medium,Medium-High
2019,1,29,Low,Medium,Medium,Medium,High,Low-Medium
2019,1,30,Low,High,High,Low,Low,Low-High
2019,1,31,Low,Medium,Low,Low,High,Low-Medium
2020,1,1,Low,Low,Low,Low,Medium,Low-Low
2020,1,2,Medium,Low,High,Medium,Low,Medium-Low
2020,1,3,High,High,Medium,High,Low,High-High
2020,1,4,High,Medium,Medium,Medium,Low,High-Medium
2020,1,5,High,Medium,Low,Low,High,High-Medium
2020,1,6,Medium,Medium,Low,Medium,High,Medium-Medium
2020,1,7,High,Medium,Low,Medium,Medium,High-Medium
2020,1,8,High,High,High,Medium,Low,High-High
2020,1,9,High,High,High,High,Low,High-High
2020,1,10,High,High,Low,Medium,Medium,High-High
2020,1,11,Medium,Low,Medium,Medium,High,Medium-Low
2020,1,12,High,Medium,Low,High,Medium,High-Medium
2020,1,13,High,Medium,Medium,High,High,High-Medium
2020,1,14,High,High,High,High,Low,High-High
2020,1,15,High,High,Low,High,Medium,High-High
2020,1,16,High,Low,Low,Medium,High,High-Low
2020,1,17,High,Medium,Low,High,Medium,High-Medium
2020,1,18,Medium,Medium,Low,Medium,High,Medium-Medium
2020,1,19,Medium,Medium,Low,Low,High,Medium-Medium
2020,1,20,Low,Low,Medium,Low,Low,Low-Low
2020,1,21,Low,Low,Medium,Low,Low,Low-Low
2020,1,22,Low,Low,High,Low,Low,Low-Low
2020,1,23,Medium,Low,Medium,Low,Medium,Medium-Low
2020,1,24,Medium,Low,High,Low,Low,Medium-Low
2020,1,25,Low,Low,Medium,Low,Medium,Low-Low
2020,1,26,High,Low,Low,Medium,High,High-Low
2020,1,27,High,High,High,High,Medium,High-High
